,state,type,m²,posted_by,city,price_eur
932,new,2 bedroom,46.0,agency,Banja Luka,87745.0
933,new,3 bedroom,66.0,agency,Banja Luka,93027.0
934,not listed,2 bedroom,55.0,agency,Banja Luka,183600.0
935,new,3 bedroom,65.0,agency,Banja Luka,129285.0
936,new,2 bedroom,45.0,agency,Banja Luka,102146.0
937,not listed,2 bedroom,37.0,agency,Banja Luka,52649.0
938,new,2 bedroom,38.0,agency,Banja Luka,75574.0
939,new,3 bedroom,63.0,agency,Banja Luka,110391.0
940,not listed,1 bedroom,45.0,agency,Banja Luka,88337.0
941,used,3 bedroom,57.38,agency,Banja Luka,117055.0
942,used,studio,30.0,individual,Ilidža,91290.0
943,used,studio,38.0,individual,Sarajevo - Novo Sarajevo,94962.0
944,used,2 bedroom,50.47,agency,Banja Luka,90088.0
945,used,3 bedroom,58.57,agency,Banja Luka,104547.0
946,used,3 bedroom,70.99,agency,Banja Luka,126717.0
947,used,3 bedroom,70.99,agency,Banja Luka,126717.0
948,used,4 bedroom,79.09,agency,Banja Luka,141175.0
949,used,2 bedroom,55.91,agency,Banja Luka,99799.0
950,used,4 bedroom,79.09,agency,Banja Luka,141175.0
951,used,1 bedroom,43.16,agency,Banja Luka,69336.0
952,not listed,2 bedroom,54.0,agency,Trnovo,93653.0
953,used,2 bedroom,50.0,agency,Ilidža,127500.0
954,not listed,3 bedroom,75.0,individual,Bijeljina,149175.0
955,used,3 bedroom,105.0,agency,Ilidža,232050.0
956,not listed,1 bedroom,45.0,individual,Zenica,76500.0
957,used,3 bedroom,69.02,agency,Sarajevo - Novi Grad,149600.0
958,used,studio,35.05,agency,Sarajevo - Novi Grad,110670.0
959,not listed,2 bedroom,60.0,individual,Novi Travnik,50490.0
960,new,3 bedroom,75.0,agency,Sarajevo - Centar,198900.0
961,used,2 bedroom,45.03,agency,Banja Luka,73488.0
962,used,3 bedroom,74.0,agency,Sarajevo - Centar,229500.0
963,used,3 bedroom,75.0,agency,Sarajevo - Centar,198900.0
964,used,2 bedroom,42.0,agency,Banja Luka,58680.0
965,used,2 bedroom,37.0,agency,Banja Luka,51583.0
966,used,studio,26.0,agency,Sarajevo - Novo Sarajevo,60690.0
967,used,studio,28.0,agency,Sarajevo - Novo Sarajevo,60690.0
968,not listed,2 bedroom,63.0,agency,Banja Luka,141780.0
